q, coeff
1.0e-8,0.975813134628584
0.0200000098,1.0353917705620648
0.0400000096,1.06843942748676
0.0600000094,1.0916518670323692
0.0800000092,1.1085568357579558
0.100000009,1.1209803770591014
0.1200000088,1.13003422492877
0.1400000086,1.1363662045431702
0.1600000084,1.1406467696136378
0.1800000082,1.143252492565515
0.200000008,1.144522444029334
0.2200000078,1.1446342550909878
0.2400000076,1.1438539743449614
0.2600000074,1.142315844467535
0.2800000072,1.140165803036113
0.300000007,1.137513521964327
0.3200000068,1.1344465230315812
0.3400000066,1.131046110110464
0.3600000064,1.1273706883520367
0.3800000062,1.1234830820588422
0.400000006,1.1194207176978133
0.4200000058,1.115228776412739
0.4400000056,1.110934828747326
0.4600000054,1.1065765576010216
0.4800000052,1.1021652633683559
0.500000005,1.0977218840138845
0.5200000048,1.0932713463267894
0.5400000046,1.0888251214557274
0.5600000044,1.0843901067505268
0.5800000042,1.0799823163962043
0.600000004,1.075604893884361
0.6200000038,1.0712682940812908
0.6400000036,1.0669782428033006
0.6600000034,1.0627354122302903
0.6800000032,1.0585471267660975
0.700000003,1.0544131705036899
0.7200000028,1.0503387085615368
0.7400000026,1.0463228559560565
0.7600000024,1.0423705298326853
0.7800000022,1.0384788864800962
0.800000002,1.0346460639683992
0.8200000018,1.030880999566705
0.8400000016,1.0271804608620774
0.8600000014,1.0235492428876258
0.8800000012,1.0199789069575596
0.900000001,1.016481143344308
0.9200000008,1.0130516952892692
0.9400000006,1.0096896094228918
0.9600000004,1.0063950015444898
0.9800000002,1.0031660955458364
1.0,0.9999721813896902
