N,delta_opt,bounded_subgrad,minimax_rate
2,0.4484565091214373,0.44226733135547946,0.4082482904638631
4,0.3315240568788408,0.32413263448121743,0.31622776601683794
6,0.27486013156054845,0.2704425148213146,0.2672612419124244
8,0.23976467729285944,0.23733880677690822,0.23570226039551587
10,0.2199829381906136,0.21416957641751055,0.21320071635561041
12,0.20216068979082003,0.1967445579923076,0.19611613513818404
14,0.18817530967487578,0.18300864932626182,0.18257418583505536
16,0.17758075925822792,0.17181370125526035,0.17149858514250882
18,0.0,0.16245836204730732,0.16222142113076254
20,0.0,0.15448678638628496,0.1543033499620919
22,0.0,0.14758741287679575,0.14744195615489714
24,0.0,0.14153908053796374,0.1414213562373095
26,0.0,0.1361794533447832,0.13608276348795434
28,0.0,0.1313870436230758,0.13130643285972254
30,0.0,0.12706804755007145,0.1270001270001905
32,0.0,0.12314960927070534,0.12309149097933272
34,0.0,0.11957301401943213,0.11952286093343936
36,0.0,0.1162912174628313,0.11624763874381928
38,0.0,0.11326512305942946,0.11322770341445956
40,0.0,0.11046459208325657,0.11043152607484653
42,0.0,0.10786191885358258,0.10783277320343841
44,0.0,0.10543581095715829,0.10540925533894598
46,0.0,0.10316497450244279,0.10314212462587934
48,0.0,0.10103637528461143,0.10101525445522107
50,0.0,0.09903365925606247,0.09901475429766744
