N,delta_opt,bounded_subgrad,minimax_rate
2,0.0,0.6123704421518624,0.4082482904638631
4,0.0,0.45836586726569234,0.31622776601683794
6,0.0,0.3690725085113779,0.2672612419124244
8,0.0,0.3175412368713541,0.23570226039551587
10,0.0,0.2829735852167951,0.21320071635561041
12,0.0,0.25771494839323206,0.19611613513818404
14,0.0,0.23821424028291918,0.18257418583505536
16,0.0,0.22256835085240506,0.17149858514250882
18,0.0,0.20965316515214202,0.16222142113076254
20,0.0,0.19875598999199015,0.1543033499620919
22,0.0,0.18940030107478523,0.14744195615489714
24,0.0,0.18125372273853674,0.1414213562373095
26,0.0,0.17407619635750451,0.13608276348795434
28,0.0,0.16768936938255144,0.13130643285972254
30,0.0,0.1619578089702379,0.1270001270001905
32,0.0,0.15677707985182923,0.12309149097933272
34,0.0,0.1520640615724422,0.11952286093343936
36,0.0,0.14775200928155519,0.11624763874381928
38,0.0,0.14378694690464133,0.11322770341445956
40,0.0,0.14012537298476735,0.11043152607484653
42,0.0,0.1367301677442823,0.10783277320343841
44,0.0,0.13357003037207174,0.10540925533894598
46,0.0,0.13061992062243014,0.10314212462587934
48,0.0,0.12785658483307372,0.10101525445522107
50,0.0,0.12526184600668466,0.09901475429766744
