N,delta_opt,bounded_subgrad,minimax_rate
2,0.4457731195702912,0.4422673285654834,0.4082482904638631
4,0.3269661494179984,0.3241327326465001,0.31622776601683794
6,0.2775735597701243,0.27044239000868436,0.2672612419124244
8,0.24460829132938516,0.23733869881167566,0.23570226039551587
10,0.21885838328598903,0.21416958466571062,0.21320071635561041
12,0.2062135392056968,0.1967444561056841,0.19611613513818404
14,0.19106970201417256,0.1830087041595155,0.18257418583505536
16,0.1803930835398862,0.1718136132674596,0.17149858514250882
18,0.0,0.16245816230993165,0.16222142113076254
20,0.0,0.15448676401788364,0.1543033499620919
22,0.0,0.14758748308632,0.14744195615489714
24,0.0,0.14153887163521786,0.1414213562373095
26,0.0,0.13617925726027122,0.13608276348795434
28,0.0,0.13138664602037697,0.13130643285972254
30,0.0,0.1270680542392557,0.1270001270001905
32,0.0,0.1231493639614786,0.12309149097933272
34,0.0,0.11957225288274997,0.11952286093343936
36,0.0,0.11629031180617644,0.11624763874381928
38,0.0,0.11326521042675457,0.11322770341445956
40,0.0,0.11046430871298905,0.11043152607484653
42,0.0,0.10786183386104004,0.10783277320343841
44,0.0,0.10543523506557545,0.10540925533894598
46,0.0,0.10316501850887212,0.10314212462587934
48,0.0,0.10103582709265935,0.10101525445522107
50,0.0,0.0990333893726637,0.09901475429766744
