N,obj_opt
5,0.14699929232328535
10,0.14148921618036106
15,0.15933818838599537
20,0.2540793171515354
25,0.3084149491461271
30,0.3649333337403118
35,0.37570976722704613
40,0.6398721504524442
45,0.6142902951581931
50,0.5611565313702175
