N,p_1.0
2,0.10000254952880401
3,0.07143263270710361
4,0.0555602621811831
5,0.04546465898334027
6,0.038466585305309296
7,0.033339067871533186
8,0.029417908692924963
9,0.026328500813053518
10,0.023816110741405473
