N,delta_opt,bounded_subgrad,minimax_rate
2,0.5444630463989716,0.5278214243028345,0.4082482904638631
4,0.3964121069303617,0.36895116080320006,0.31622776601683794
6,0.3325682179332518,0.3014716230524786,0.2672612419124244
8,0.29647865388815325,0.2615740247541492,0.23570226039551587
10,0.2704202927399688,0.2343564689666566,0.21320071635561041
12,0.2396538630617951,0.2142350452674823,0.19611613513818404
14,0.25643637363722716,0.19856708535942236,0.18257418583505536
16,0.24090508310530134,0.18591412400675705,0.17149858514250882
18,0.0,0.17541561962005534,0.16222142113076254
20,0.0,0.16652099925015804,0.1543033499620919
22,0.0,0.15885804585574345,0.14744195615489714
24,0.0,0.15216653822603612,0.1414213562373095
26,0.0,0.14625642605455313,0.13608276348795434
28,0.0,0.14098657591664607,0.13130643285972254
30,0.0,0.13624876023036445,0.1270001270001905
32,0.0,0.13195896330937507,0.12309149097933272
34,0.0,0.12805107311024289,0.11952286093343936
36,0.0,0.12447117310033234,0.11624763874381928
38,0.0,0.12117634235167296,0.11322770341445956
40,0.0,0.1181297023823821,0.11043152607484653
42,0.0,0.11530232969770969,0.10783277320343841
44,0.0,0.11266869078100981,0.10540925533894598
46,0.0,0.1102077177595746,0.10314212462587934
48,0.0,0.10790161552382367,0.10101525445522107
50,0.0,0.10573415185894262,0.09901475429766744
