Complexity,Loss,Equation
1,0.2462146,"0.9181083"
3,0.016660608,"r / 0.455241"
5,0.00021089669,"(r + 0.12191864) / 0.55117095"
7,0.00011970244,"(1.812061 / (r ^ -1.0539513)) + 0.2470958"
9,7.042008e-6,"1.876737 / (((r + 0.42325675) ^ -2.199263) - -0.47208667)"
11,6.6436505e-6,"(1.8030329 / (((r + 0.44846717) ^ -2.2332997) - -0.4509097)) - 0.016209371"
13,1.1542837e-6,"(1.9541099 / (((r + 0.41252518) ^ -2.2499607) - -0.1913373)) - (r * r)"
15,9.852115e-8,"(((p * ((r ^ 2.1005807) - 0.92896336)) + 1.7538108) / (r ^ -0.79130745)) - -0.24642758"
17,4.2867775e-8,"(((p * (((r ^ 2.0994813) - 0.9558911) * 0.975732)) + 1.7552376) / (r ^ -0.78943074)) - -0.24608791"
