Complexity,Loss,Equation
1,0.25224262,"0.92087764"
3,0.016842084,"r * 2.1957667"
5,0.00025931618,"(r + 0.12159036) * 1.8169799"
7,9.065767e-5,"(0.21130542 ^ (p + -0.5289964)) + -0.23166348"
9,6.3184736e-5,"((0.22123902 ^ (p + -0.8431608)) + -0.5325409) - r"
11,4.683518e-5,"(r ^ (p + 1.1190937)) + ((p * -0.7540817) + 1.0137501)"
13,4.202453e-5,"(r ^ (p + 1.1879743)) + ((r - -0.13269316) * (p + 0.89680046))"
15,4.198027e-5,"(((p + 0.88613194) * r) * 0.8616195) + ((r ^ (p + 1.1851065)) - -0.2521854)"
17,4.1557254e-5,"(r * ((p * 0.71083814) + 0.75345945)) + ((r ^ (1.8148586 - (r * 0.7949966))) + 0.2559415)"
