k1,k2,k3,p,value
0.001,0.001,0.251,0.01,83.93565919306613
0.001,0.001,0.251,0.06157894736842105,51.80087493658391
0.001,0.001,0.251,0.11315789473684211,32.843106147420116
0.001,0.001,0.251,0.16473684210526315,21.53524707655498
0.001,0.001,0.251,0.2163157894736842,14.633047035435055
0.001,0.001,0.251,0.26789473684210524,10.29771448966462
0.001,0.001,0.251,0.3194736842105263,7.491084243123794
0.001,0.001,0.251,0.37105263157894736,5.6194495587735815
0.001,0.001,0.251,0.4226315789473684,4.335997578684889
0.001,0.001,0.251,0.47421052631578947,3.433032697616836
0.001,0.001,0.251,0.5257894736842105,2.782910446344772
0.001,0.001,0.251,0.5773684210526315,2.305168431703466
0.001,0.001,0.251,0.6289473684210526,1.9478600559900618
0.001,0.001,0.251,0.6805263157894736,1.676718097437976
0.001,0.001,0.251,0.7321052631578947,1.4687305085995614
0.001,0.001,0.251,0.7836842105263158,1.3082736531668875
0.001,0.001,0.251,0.8352631578947368,1.1848011603851551
0.001,0.001,0.251,0.8868421052631579,1.0916207022601592
0.001,0.001,0.251,0.9384210526315789,1.0259487102569853
0.001,0.001,0.251,0.99,0.9950125073994345
0.001,0.001,0.376,0.01,77.82577701907641
0.001,0.001,0.376,0.06157894736842105,49.544420814745024
0.001,0.001,0.376,0.11315789473684211,32.00004522628727
0.001,0.001,0.376,0.16473684210526315,21.210646761466634
0.001,0.001,0.376,0.2163157894736842,14.50314525830963
0.001,0.001,0.376,0.26789473684210524,10.243571427736107
0.001,0.001,0.376,0.3194736842105263,7.467621231953526
0.001,0.001,0.376,0.37105263157894736,5.608917099051904
0.001,0.001,0.376,0.4226315789473684,4.331123178465553
0.001,0.001,0.376,0.47421052631578947,3.4307196807401166
0.001,0.001,0.376,0.5257894736842105,2.781792296412151
0.001,0.001,0.376,0.5773684210526315,2.3046223503982173
0.001,0.001,0.376,0.6289473684210526,1.9475939619186606
0.001,0.001,0.376,0.6805263157894736,1.6765915522661352
0.001,0.001,0.376,0.7321052631578947,1.4686745337096658
0.001,0.001,0.376,0.7836842105263158,1.3082537641285361
0.001,0.001,0.376,0.8352631578947368,1.1847998744120423
0.001,0.001,0.376,0.8868421052631579,1.0916290668859991
0.001,0.001,0.376,0.9384210526315789,1.0259621178017913
0.001,0.001,0.376,0.99,0.9950285957643157
0.001,0.001,0.501,0.01,72.99485937995826
0.001,0.001,0.501,0.06157894736842105,47.70392958251911
0.001,0.001,0.501,0.11315789473684211,31.303759316777104
0.001,0.001,0.501,0.16473684210526315,20.94232073399227
0.001,0.001,0.501,0.2163157894736842,14.396359401979005
0.001,0.001,0.501,0.26789473684210524,10.199452203135039
0.001,0.001,0.501,0.3194736842105263,7.448696107601272
0.001,0.001,0.501,0.37105263157894736,5.6005123890975455
0.001,0.001,0.501,0.4226315789473684,4.32727585046721
0.001,0.001,0.501,0.47421052631578947,3.428914443768898
0.001,0.001,0.501,0.5257894736842105,2.7809300598886555
0.001,0.001,0.501,0.5773684210526315,2.3042071257393504
0.001,0.001,0.501,0.6289473684210526,1.9473954048642907
0.001,0.001,0.501,0.6805263157894736,1.6764999738099053
0.001,0.001,0.501,0.7321052631578947,1.4686365718701229
0.001,0.001,0.501,0.7836842105263158,1.3082429959892208
0.001,0.001,0.501,0.8352631578947368,1.1848030333118356
0.001,0.001,0.501,0.8868421052631579,1.0916394264047984
0.001,0.001,0.501,0.9384210526315789,1.0259762514572843
0.001,0.001,0.501,0.99,0.9950447658041166
0.001,0.001,0.626,0.01,68.99616816434349
0.001,0.001,0.626,0.06157894736842105,46.13570881092569
0.001,0.001,0.626,0.11315789473684211,30.702516796493526
0.001,0.001,0.626,0.16473684210526315,20.709905347201527
0.001,0.001,0.626,0.2163157894736842,14.304126998357837
0.001,0.001,0.626,0.26789473684210524,10.161570063678809
0.001,0.001,0.626,0.3194736842105263,7.432564869569994
0.001,0.001,0.626,0.37105263157894736,5.593404827769671
0.001,0.001,0.626,0.4226315789473684,4.3240487839488075
0.001,0.001,0.626,0.47421052631578947,3.42741307416299
0.001,0.001,0.626,0.5257894736842105,2.7802196092724785
0.001,0.001,0.626,0.5773684210526315,2.303868838145233
0.001,0.001,0.626,0.6289473684210526,1.9472362152821168
0.001,0.001,0.626,0.6805263157894736,1.6764286045295336
0.001,0.001,0.626,0.7321052631578947,1.4686089332182277
0.001,0.001,0.626,0.7836842105263158,1.308237411409352
0.001,0.001,0.626,0.8352631578947368,1.1848086974232181
0.001,0.001,0.626,0.8868421052631579,1.0916509010702145
0.001,0.001,0.626,0.9384210526315789,1.0259907877169123
0.001,0.001,0.626,0.99,0.9950609807664841
0.001,0.001,0.751,0.01,65.58975164326057
0.001,0.001,0.751,0.06157894736842105,44.76355181015978
0.001,0.001,0.751,0.11315789473684211,30.169398344230487
0.001,0.001,0.751,0.16473684210526315,20.502971158361284
0.001,0.001,0.751,0.2163157894736842,14.222117235353984
0.001,0.001,0.751,0.26789473684210524,10.128029802901708
0.001,0.001,0.751,0.3194736842105263,7.41836294075685
0.001,0.001,0.751,0.37105263157894736,5.5871863146003165
0.001,0.001,0.751,0.4226315789473684,4.32124380771773
0.001,0.001,0.751,0.47421052631578947,3.426117063650951
0.001,0.001,0.751,0.5257894736842105,2.7796110500948092
0.001,0.001,0.751,0.5773684210526315,2.3035818575706273
0.001,0.001,0.751,0.6289473684210526,1.9471031087473776
0.001,0.001,0.751,0.6805263157894736,1.6763705392880341
0.001,0.001,0.751,0.7321052631578947,1.4685880474696642
0.001,0.001,0.751,0.7836842105263158,1.308235196371034
0.001,0.001,0.751,0.8352631578947368,1.1848159799001499
0.001,0.001,0.751,0.8868421052631579,1.0916630916786252
0.001,0.001,0.751,0.9384210526315789,1.026005580877746
0.001,0.001,0.751,0.99,0.9950772242206809
0.001,0.001,0.876,0.01,62.6289813391472
0.001,0.001,0.876,0.06157894736842105,43.541062632048494
0.001,0.001,0.876,0.11315789473684211,29.688229219395637
0.001,0.001,0.876,0.16473684210526315,20.315328339059022
0.001,0.001,0.876,0.2163157894736842,14.14778497871231
0.001,0.001,0.876,0.26789473684210524,10.097726750509615
0.001,0.001,0.876,0.3194736842105263,7.405590063040901
0.001,0.001,0.876,0.37105263157894736,5.581622329750228
0.001,0.001,0.876,0.4226315789473684,4.318747785357688
0.001,0.001,0.876,0.47421052631578947,3.424970530377406
0.001,0.001,0.876,0.5257894736842105,2.7790762536504783
0.001,0.001,0.876,0.5773684210526315,2.3033318227451858
0.001,0.001,0.876,0.6289473684210526,1.9469886863463977
0.001,0.001,0.876,0.6805263157894736,1.6763219550594055
0.001,0.001,0.876,0.7321052631578947,1.4685719495861562
0.001,0.001,0.876,0.7836842105263158,1.3082353582962156
0.001,0.001,0.876,0.8352631578947368,1.1848243982973345
0.001,0.001,0.876,0.8868421052631579,1.091675782309164
0.001,0.001,0.876,0.9384210526315789,1.0260205525796557
0.001,0.001,0.876,0.99,0.9950934873799184
0.001,0.126,0.001,0.01,1.9611299040652055
0.001,0.126,0.001,0.06157894736842105,1.726278956639466
0.001,0.126,0.001,0.11315789473684211,1.5552740081340097
0.001,0.126,0.001,0.16473684210526315,1.4277786791887985
0.001,0.126,0.001,0.2163157894736842,1.3307119141318635
0.001,0.126,0.001,0.26789473684210524,1.2553613832348125
0.001,0.126,0.001,0.3194736842105263,1.195759548243979
0.001,0.126,0.001,0.37105263157894736,1.1477369290717014
0.001,0.126,0.001,0.4226315789473684,1.108352020953852
0.001,0.126,0.001,0.47421052631578947,1.0755368520597397
0.001,0.126,0.001,0.5257894736842105,1.0478691510349547
0.001,0.126,0.001,0.5773684210526315,1.0244213379258178
0.001,0.126,0.001,0.6289473684210526,1.0046593753438104
0.001,0.126,0.001,0.6805263157894736,0.9883791164974465
0.001,0.126,0.001,0.7321052631578947,0.9756792534554961
0.001,0.126,0.001,0.7836842105263158,0.9669839204533996
0.001,0.126,0.001,0.8352631578947368,0.9631574132227123
0.001,0.126,0.001,0.8868421052631579,0.9658472430222904
0.001,0.126,0.001,0.9384210526315789,0.9786315326436879
0.001,0.126,0.001,0.99,1.0141904925499765
0.001,0.126,0.126,0.01,1.936565629247574
0.001,0.126,0.126,0.06157894736842105,1.7089736696269053
0.001,0.126,0.126,0.11315789473684211,1.5428951130439348
0.001,0.126,0.126,0.16473684210526315,1.4188324092392932
0.001,0.126,0.126,0.2163157894736842,1.3242070398204273
0.001,0.126,0.126,0.26789473684210524,1.250619725701542
0.001,0.126,0.126,0.3194736842105263,1.1923050597901437
0.001,0.126,0.126,0.37105263157894736,1.1452284406108881
0.001,0.126,0.126,0.4226315789473684,1.1065410824451067
0.001,0.126,0.126,0.47421052631578947,1.0742404388087845
0.001,0.126,0.126,0.5257894736842105,1.0469514340144377
0.001,0.126,0.126,0.5773684210526315,1.0237811377259098
0.001,0.126,0.126,0.6289473684210526,1.0042212827465873
0.001,0.126,0.126,0.6805263157894736,0.988087050174653
0.001,0.126,0.126,0.7321052631578947,0.9754916898459589
0.001,0.126,0.126,0.7836842105263158,0.9668703092225721
0.001,0.126,0.126,0.8352631578947368,0.9630954605820516
