k1,k2,k3,p,r,value
0.5,0.5,0.5,0.01,0.9801980198019802,0.9828527678499754
0.5,0.5,0.5,0.010980980980980982,0.9782765824727468,0.9809500809250502
0.5,0.5,0.5,0.011961961961961962,0.9763588703694545,0.9790528237701283
0.5,0.5,0.5,0.012942942942942943,0.9744448726690582,0.977160976405906
0.5,0.5,0.5,0.013923923923923925,0.9725345785903979,0.9752745189408784
0.5,0.5,0.5,0.014904904904904905,0.9706279773939974,0.9733934315707404
0.5,0.5,0.5,0.015885885885885884,0.9687250583818616,0.9715176945780608
0.5,0.5,0.5,0.016866866866866868,0.9668258108972781,0.9696472883317766
0.5,0.5,0.5,0.017847847847847848,0.9649302243246166,0.9677821932867408
0.5,0.5,0.5,0.018828828828828827,0.9630382880891326,0.9659223899834541
0.5,0.5,0.5,0.01980980980980981,0.9611499916567693,0.9640678590475188
0.5,0.5,0.5,0.02079079079079079,0.9592653245339636,0.9622185811890648
0.5,0.5,0.5,0.02177177177177177,0.9573842762674504,0.9603745372026339
0.5,0.5,0.5,0.022752752752752754,0.9555068364440704,0.9585357079665765
0.5,0.5,0.5,0.023733733733733733,0.9536329946905769,0.956702074442672
0.5,0.5,0.5,0.024714714714714713,0.9517627406734461,0.9548736176757615
0.5,0.5,0.5,0.025695695695695697,0.9498960640986853,0.9530503187932235
0.5,0.5,0.5,0.026676676676676676,0.9480329547116463,0.9512321590046299
0.5,0.5,0.5,0.027657657657657656,0.9461734022968352,0.9494191196013398
0.5,0.5,0.5,0.02863863863863864,0.944317396677728,0.9476111819562263
0.5,0.5,0.5,0.02961961961961962,0.9424649277165827,0.945808327522937
0.5,0.5,0.5,0.0306006006006006,0.9406159853142575,0.9440105378358631
0.5,0.5,0.5,0.03158158158158158,0.9387705594100237,0.9422177945094417
0.5,0.5,0.5,0.03256256256256256,0.936928639981387,0.9404300792380078
0.5,0.5,0.5,0.033543543543543546,0.9350902170439027,0.9386473737952432
0.5,0.5,0.5,0.03452452452452452,0.9332552806509982,0.9368696600337832
0.5,0.5,0.5,0.035505505505505505,0.931423820893791,0.9350969198848696
0.5,0.5,0.5,0.03648648648648649,0.9295958279009128,0.9333291353580928
0.5,0.5,0.5,0.037467467467467465,0.9277712918383296,0.93156628854076
0.5,0.5,0.5,0.03844844844844845,0.9259502029091681,0.9298083615975979
0.5,0.5,0.5,0.03942942942942943,0.9241325513535377,0.9280553367704054
0.5,0.5,0.5,0.04041041041041041,0.9223183274483582,0.9263071963778893
0.5,0.5,0.5,0.04139139139139139,0.9205075215071851,0.9245639228147375
0.5,0.5,0.5,0.042372372372372374,0.9187001238800381,0.9228254985517996
0.5,0.5,0.5,0.04335335335335335,0.9168961249532288,0.9210919061354649
0.5,0.5,0.5,0.044334334334334334,0.9150955151491915,0.9193631281871335
0.5,0.5,0.5,0.04531531531531532,0.913298284926312,0.9176391474032435
0.5,0.5,0.5,0.046296296296296294,0.9115044247787611,0.9159199465546052
0.5,0.5,0.5,0.04727727727727728,0.9097139252363247,0.9142055084860928
0.5,0.5,0.5,0.04825825825825826,0.9079267768642393,0.9124958161162983
0.5,0.5,0.5,0.04923923923923924,0.9061429702630247,0.9107908524372713
0.5,0.5,0.5,0.05022022022022022,0.9043624960683206,0.9090906005140008
0.5,0.5,0.5,0.0512012012012012,0.9025853449507213,0.907395043484064
0.5,0.5,0.5,0.05218218218218218,0.9008115076156137,0.9057041645574386
0.5,0.5,0.5,0.05316316316316316,0.899040974803015,0.9040179470159668
0.5,0.5,0.5,0.054144144144144146,0.8972737372874113,0.90233637421313
0.5,0.5,0.5,0.05512512512512512,0.8955097858775983,0.9006594295736158
0.5,0.5,0.5,0.056106106106106106,0.8937491114165206,0.8989870965929816
0.5,0.5,0.5,0.05708708708708709,0.8919917047811142,0.8973193588373573
0.5,0.5,0.5,0.058068068068068066,0.8902375568821487,0.8956561999430619
0.5,0.5,0.5,0.05904904904904905,0.8884866586640706,0.8939976036163139
0.5,0.5,0.5,0.06003003003003003,0.8867390011048472,0.8923435536327756
0.5,0.5,0.5,0.06101101101101101,0.8849945752158122,0.8906940338373296
0.5,0.5,0.5,0.06199199199199199,0.8832533720415107,0.8890490281436751
0.5,0.5,0.5,0.06297297297297297,0.8815153826595474,0.8874085205340322
0.5,0.5,0.5,0.06395395395395395,0.8797805981804325,0.8857724950588303
0.5,0.5,0.5,0.06493493493493493,0.8780490097474316,0.8841409358362722
0.5,0.5,0.5,0.06591591591591592,0.8763206085364136,0.8825138270520644
0.5,0.5,0.5,0.0668968968968969,0.8745953857557022,0.8808911529592239
0.5,0.5,0.5,0.06787787787787788,0.8728733326459256,0.8792728978774684
0.5,0.5,0.5,0.06885885885885885,0.8711544404798697,0.8776590461931578
0.5,0.5,0.5,0.06983983983983984,0.8694387005623286,0.8760495823587965
0.5,0.5,0.5,0.07082082082082082,0.8677261042299603,0.8744444908928513
0.5,0.5,0.5,0.0718018018018018,0.8660166428511389,0.8728437563792777
0.5,0.5,0.5,0.07278278278278279,0.8643103078258111,0.8712473634673303
0.5,0.5,0.5,0.07376376376376377,0.8626070905853508,0.8696552968711982
0.5,0.5,0.5,0.07474474474474474,0.8609069825924167,0.8680675413696862
0.5,0.5,0.5,0.07572572572572572,0.8592099753408086,0.866484081805932
0.5,0.5,0.5,0.0767067067067067,0.8575160603553268,0.8649049030870357
0.5,0.5,0.5,0.07768768768768769,0.8558252291916292,0.863329990183838
0.5,0.5,0.5,0.07866866866866867,0.8541374734360936,0.8617593281305603
0.5,0.5,0.5,0.07964964964964966,0.852452784705675,0.860192902024445
0.5,0.5,0.5,0.08063063063063063,0.85077115464777,0.8586306970255466
0.5,0.5,0.5,0.08161161161161161,0.8490925749400757,0.8570726983564085
0.5,0.5,0.5,0.08259259259259259,0.847417037290455,0.8555188913017336
0.5,0.5,0.5,0.08357357357357358,0.8457445334367985,0.8539692612080844
0.5,0.5,0.5,0.08455455455455456,0.8440750551468892,0.8524237934836594
0.5,0.5,0.5,0.08553553553553554,0.8424085942182673,0.8508824735978191
0.5,0.5,0.5,0.08651651651651651,0.8407451424780963,0.8493452870810126
0.5,0.5,0.5,0.0874974974974975,0.8390846917830285,0.8478122195243455
0.5,0.5,0.5,0.08847847847847848,0.8374272340190733,0.8462832565793195
0.5,0.5,0.5,0.08945945945945946,0.8357727611014636,0.8447583839575553
0.5,0.5,0.5,0.09044044044044044,0.8341212649745261,0.8432375874304914
0.5,0.5,0.5,0.09142142142142143,0.8324727376115487,0.8417208528291312
0.5,0.5,0.5,0.0924024024024024,0.8308271710146522,0.8402081660436307
0.5,0.5,0.5,0.09338338338338338,0.829184557214659,0.8386995130232493
0.5,0.5,0.5,0.09436436436436436,0.827544888270967,0.837194879775878
0.5,0.5,0.5,0.09534534534534535,0.8259081562714187,0.8356942523677495
0.5,0.5,0.5,0.09632632632632633,0.8242743533321768,0.8341976169232769
0.5,0.5,0.5,0.09730730730730731,0.8226434715975953,0.8327049596247961
0.5,0.5,0.5,0.09828828828828828,0.8210155032400952,0.831216266712024
0.5,0.5,0.5,0.09926926926926927,0.8193904404600382,0.8297315244821746
0.5,0.5,0.5,0.10025025025025025,0.8177682754856025,0.8282507192893309
0.5,0.5,0.5,0.10123123123123123,0.8161490005726595,0.8267738375444527
0.5,0.5,0.5,0.10221221221221222,0.8145326080046499,0.8253008657149004
0.5,0.5,0.5,0.1031931931931932,0.8129190900924608,0.8238317903242304
0.5,0.5,0.5,0.10417417417417417,0.8113084391743044,0.8223665979520769
0.5,0.5,0.5,0.10515515515515515,0.8097006476155972,0.8209052752335436
0.5,0.5,0.5,0.10613613613613614,0.8080957078088378,0.8194478088593258
0.5,0.5,0.5,0.10711711711711712,0.8064936121734886,0.8179941855751859
0.5,0.5,0.5,0.1080980980980981,0.804894353155855,0.8165443921818104
0.5,0.5,0.5,0.10907907907907909,0.8032979232289683,0.8150984155345026
0.5,0.5,0.5,0.11006006006006006,0.8017043148924659,0.8136562425429017
0.5,0.5,0.5,0.11104104104104104,0.8001135206724749,0.8122178601708469
0.5,0.5,0.5,0.11202202202202202,0.798525533121495,0.8107832554358547
0.5,0.5,0.5,0.113003003003003,0.7969403448182825,0.8093524154092876
0.5,0.5,0.5,0.11398398398398399,0.7953579483677339,0.8079253272156133
0.5,0.5,0.5,0.11496496496496497,0.7937783364007721,0.8065019780326033
0.5,0.5,0.5,0.11594594594594594,0.792201501574231,0.8050823550906789
0.5,0.5,0.5,0.11692692692692692,0.7906274365707423,0.8036664456729948
0.5,0.5,0.5,0.11790790790790791,0.7890561340986219,0.8022542371149709
0.5,0.5,0.5,0.11888888888888889,0.7874875868917577,0.8008457168042052
0.5,0.5,0.5,0.11986986986986987,0.7859217877094972,0.7994408721800584
0.5,0.5,0.5,0.12085085085085086,0.7843587293365365,0.7980396907335
0.5,0.5,0.5,0.12183183183183183,0.782798404582809,0.7966421600069623
0.5,0.5,0.5,0.12281281281281281,0.7812408062833761,0.795248267593876
0.5,0.5,0.5,0.1237937937937938,0.7796859272983155,0.7938580011386193
0.5,0.5,0.5,0.12477477477477478,0.7781337605126152,0.7924713483362402
0.5,0.5,0.5,0.12575575575575576,0.7765842988360615,0.7910882969320733
0.5,0.5,0.5,0.12673673673673674,0.7750375352031343,0.7897088347217736
0.5,0.5,0.5,0.12771771771771773,0.7734934625728969,0.7883329495507541
0.5,0.5,0.5,0.1286986986986987,0.7719520739288914,0.7869606293142456
0.5,0.5,0.5,0.12967967967967967,0.7704133622790306,0.7855918619569443
0.5,0.5,0.5,0.13066066066066065,0.768877320655494,0.7842266354727114
0.5,0.5,0.5,0.13164164164164163,0.7673439421146209,0.7828649379044127
0.5,0.5,0.5,0.13262262262262262,0.7658132197368073,0.7815067573437422
0.5,0.5,0.5,0.1336036036036036,0.7642851466264007,0.7801520819308658
0.5,0.5,0.5,0.13458458458458458,0.7627597159115974,0.7788008998543525
0.5,0.5,0.5,0.13556556556556557,0.7612369207443386,0.777453199350706
0.5,0.5,0.5,0.13654654654654655,0.7597167543002088,0.7761089687044005
0.5,0.5,0.5,0.13752752752752753,0.7581992097783331,0.7747681962475851
0.5,0.5,0.5,0.13850850850850852,0.7566842804012767,0.7734308703597398
0.5,0.5,0.5,0.1394894894894895,0.7551719594149426,0.7720969794675986
0.5,0.5,0.5,0.14047047047047048,0.753662240088473,0.7707665120447776
0.5,0.5,0.5,0.14145145145145144,0.752155115714148,0.7694394566118052
0.5,0.5,0.5,0.14243243243243242,0.7506505796072865,0.7681158017355338
0.5,0.5,0.5,0.1434134134134134,0.7491486251061482,0.7667955360293387
0.5,0.5,0.5,0.1443943943943944,0.7476492455718347,0.7654786481525985
0.5,0.5,0.5,0.14537537537537537,0.7461524343881912,0.7641651268105825
0.5,0.5,0.5,0.14635635635635635,0.7446581849617101,0.7628549607542655
0.5,0.5,0.5,0.14733733733733734,0.7431664907214336,0.7615481387800583
0.5,0.5,0.5,0.14831831831831832,0.7416773451188577,0.7602446497296269
0.5,0.5,0.5,0.1492992992992993,0.7401907416278362,0.7589444824897483
0.5,0.5,0.5,0.1502802802802803,0.738706673744485,0.7576476259918685
0.5,0.5,0.5,0.15126126126126127,0.7372251349870881,0.7563540692122672
0.5,0.5,0.5,0.15224224224224225,0.7357461188960029,0.7550638011714776
0.5,0.5,0.5,0.1532232232232232,0.7342696190335657,0.7537768109343272
0.5,0.5,0.5,0.1542042042042042,0.732795628983999,0.7524930876096023
0.5,0.5,0.5,0.15518518518518518,0.7313241423533184,0.7512126203499063
0.5,0.5,0.5,0.15616616616616616,0.7298551527692401,0.749935398351518
0.5,0.5,0.5,0.15714714714714714,0.728388653881089,0.7486614108539993
0.5,0.5,0.5,0.15812812812812813,0.7269246393597067,0.7473906471401542
0.5,0.5,0.5,0.1591091091091091,0.7254631028973617,0.7461230965358359
0.5,0.5,0.5,0.1600900900900901,0.724004038207657,0.7448587484096204
0.5,0.5,0.5,0.16107107107107108,0.7225474390254416,0.7435975921726955
0.5,0.5,0.5,0.16205205205205206,0.7210932991067198,0.7423396172787452
0.5,0.5,0.5,0.16303303303303304,0.7196416122285626,0.7410848132235571
0.5,0.5,0.5,0.16401401401401403,0.7181923721890183,0.7398331695449543
0.5,0.5,0.5,0.16499499499499498,0.7167455728070252,0.7385846758226625
0.5,0.5,0.5,0.16597597597597596,0.715301207922322,0.7373393216778956
0.5,0.5,0.5,0.16695695695695695,0.7138592713953629,0.7360970967734296
0.5,0.5,0.5,0.16793793793793793,0.7124197571072276,0.7348579908132429
0.5,0.5,0.5,0.16891891891891891,0.7109826589595376,0.7336219935423772
0.5,0.5,0.5,0.1698998998998999,0.7095479708743678,0.732389094746701
0.5,0.5,0.5,0.17088088088088088,0.7081156867941627,0.7311592842528449
0.5,0.5,0.5,0.17186186186186186,0.7066858006816492,0.7299325519278617
0.5,0.5,0.5,0.17284284284284285,0.705258306519754,0.7287088876791542
0.5,0.5,0.5,0.17382382382382383,0.7038331983115166,0.7274882814542609
0.5,0.5,0.5,0.17480480480480481,0.7024104700800082,0.7262707232405538
0.5,0.5,0.5,0.1757857857857858,0.7009901158682456,0.7250562030653074
0.5,0.5,0.5,0.17676676676676675,0.6995721297391098,0.7238447109953104
0.5,0.5,0.5,0.17774774774774774,0.698156505775262,0.7226362371367214
0.5,0.5,0.5,0.17872872872872872,0.6967432380790625,0.7214307716349199
0.5,0.5,0.5,0.1797097097097097,0.6953323207724877,0.7202283046743696
0.5,0.5,0.5,0.1806906906906907,0.6939237479970497,0.7190288264783321
0.5,0.5,0.5,0.18167167167167167,0.6925175139137137,0.7178323273088173
0.5,0.5,0.5,0.18265265265265265,0.6911136127028195,0.7166387974662214
0.5,0.5,0.5,0.18363363363363364,0.6897120385639984,0.7154482272893784
0.5,0.5,0.5,0.18461461461461462,0.6883127857160964,0.7142606071552249
0.5,0.5,0.5,0.1855955955955956,0.6869158483970922,0.7130759274786701
0.5,0.5,0.5,0.18657657657657659,0.6855212208640195,0.7118941787124992
0.5,0.5,0.5,0.18755755755755757,0.6841288973928875,0.7107153513470296
0.5,0.5,0.5,0.18853853853853852,0.6827388722786036,0.7095394359100916
0.5,0.5,0.5,0.1895195195195195,0.6813511398348943,0.7083664229667911
0.5,0.5,0.5,0.1905005005005005,0.6799656943942286,0.7071963031193771
0.5,0.5,0.5,0.19148148148148147,0.6785825303077402,0.7060290670070757
0.5,0.5,0.5,0.19246246246246246,0.677201641945151,0.7048647053058201
0.5,0.5,0.5,0.19344344344344344,0.6758230236946948,0.703703208728244
0.5,0.5,0.5,0.19442442442442442,0.6744466699630415,0.7025445680233622
0.5,0.5,0.5,0.1954054054054054,0.6730725751752205,0.7013887739765466
0.5,0.5,0.5,0.1963863863863864,0.6717007337745463,0.7002358174092689
0.5,0.5,0.5,0.19736736736736737,0.6703311402225436,0.6990856891789093
0.5,0.5,0.5,0.19834834834834836,0.6689637889988723,0.6979383801787442
0.5,0.5,0.5,0.19932932932932934,0.6675986746012537,0.6967938813375957
0.5,0.5,0.5,0.2003103103103103,0.6662357915453961,0.6956521836197975
0.5,0.5,0.5,0.20129129129129128,0.6648751343649226,0.6945132780250088
0.5,0.5,0.5,0.20227227227227226,0.6635166976112966,0.6933771555880196
0.5,0.5,0.5,0.20325325325325325,0.6621604758537499,0.6922438073786515
0.5,0.5,0.5,0.20423423423423423,0.6608064636792099,0.6911132245014847
0.5,0.5,0.5,0.2052152152152152,0.6594546556922285,0.6899853980958826
0.5,0.5,0.5,0.2061961961961962,0.6581050465149088,0.6888603193356807
0.5,0.5,0.5,0.20717717717717718,0.6567576307868355,0.6877379794290933
0.5,0.5,0.5,0.20815815815815816,0.6554124031650026,0.6866183696185449
0.5,0.5,0.5,0.20913913913913915,0.6540693583237439,0.6855014811805011
0.5,0.5,0.5,0.21012012012012013,0.6527284909546616,0.6843873054253432
0.5,0.5,0.5,0.2111011011011011,0.6513897957665573,0.6832758336972999
