Complexity,Loss,Equation
1,0.02005195825689132,"0.6325939035796002"
3,0.005450098382045209,"(0.7825939085789276 - x1)"
4,0.004832779672502702,"(1.7988250083891177 - exp(x1))"
6,0.004681702785106097,"(1.7988250083891217 - exp(x1 * 1.0539130957452683))"
7,0.003810454634958171,"((-0.4111028572824197 - (x1 * 1.465700752621499)) + 1.2635518810752022)"
9,0.0032954731605116627,"((-0.4036329758566591 - (x1 * (1.765700774044604 - x1))) + 1.2710217624229223)"
13,0.0028719388736161556,"((-0.03224641253812665 - (x1 * (((0.5576051723465875 - x1) - x1) + 1.5080956044010478))) + 0.9145749590423455)"
15,0.0020914833798033297,"((-0.4199224861817817 - (x1 * ((0.28264906634578985 - ((x1 * 6.131463233390404) + -0.3966941691480247)) + 2.625796553143506))) + 1.3639741062178854)"
17,0.002091483379803328,"((x1 - (x1 * ((2.606722376617621 - (x1 + ((x1 * 4.131463235938349) + x1))) + 1.698417412817615))) + 0.9440516200792288)"
