Complexity,Loss,Equation
1,2.4315511875582456,"-0.012064965763624804"
2,2.0029223325236445,"cos(x2)"
3,1.8118589672547332,"(x1 * x1)"
4,1.4600224755781843,"cos(exp(cos(x1)))"
5,0.8584597976313559,"(cos(x2) - cos(x1))"
6,0.8229730018427673,"(1.7889371741841025 - (cos(x1) * 2.9533164954425053))"
7,0.3395222429034265,"((x1 * x1) - (x2 * x2))"
8,0.0940552562191584,"(exp(cos(x2)) - (cos(x1) * 2.971378673159196))"
9,0.0599204007021675,"((x1 * x1) + ((x2 * -0.7145438237997482) * x2))"
11,0.043173164780263236,"(((x1 * x1) + ((x2 * -0.6534635752580603) * x2)) + -0.17189761560629008)"
12,0.030227274888129083,"((cos(x2) - ((cos(x1) * 2.77855210542545) - cos(x2))) - -0.6509935228244961)"
13,3.5033436060381574e-31,"(((((x1 * x1) + -0.6065704699954643) - 1.3934295300045363) + cos(x2)) + cos(x2))"
