Complexity,Loss,Equation
1,0.02005195825689133,"0.6325939035791021"
3,0.005450098382045213,"(0.782593908578396 - x1)"
5,0.003810454634958173,"(0.8524490252975716 - (x1 * 1.4657007612453898))"
7,0.0032954731605116623,"(0.8673887855275298 - (x1 * (1.7657007671952065 - x1)))"
8,0.0030888245466458557,"exp(((x1 * -1.5959783091582973) - 0.08080495300299351) - x1)"
10,0.0028332850472608676,"exp(((x1 * (x1 + -1.973889424797152)) - 0.08080495300299351) - x1)"
11,0.002819703204473128,"exp((x1 * (-1.973889424797152 - (0.8075097158900313 / exp(x1)))) - 0.08080495300299351)"
12,0.002477390627093994,"exp(((x1 * ((x1 + x1) + -1.973889424797152)) - 0.08080495300299351) - x1)"
14,0.002437467686835536,"exp(((x1 * (((x1 + x1) + -0.12142810600141009) + -1.973889424797152)) - 0.08080495300299351) - x1)"
15,0.0018025338627165417,"(exp(((x1 * ((exp(x1) * x1) + -3.811777063437084)) - x1) - x1) + x1)"
