N,delta_opt,bounded_subgrad,lip_rate
2,0.7067931796480784,0.6123723878063976,0.8164965809277261
3,0.5298435117827999,0.5254043051477003,0.7071067811865476
4,0.4754306208130037,0.4583688974439018,0.6324555320336759
5,0.4348979501096772,0.406550753595721,0.5773502691896258
6,0.38574104513147806,0.3690750106071919,0.5345224838248488
7,0.36435991970850534,0.3404017562216564,0.5
8,0.30161114624819313,0.3175433051973606,0.47140452079103173
9,0.3230833506245403,0.2987634403673747,0.4472135954999579
10,0.28993719431677567,0.28297540503913654,0.4264014327112209
