N,delta_opt,bounded_subgrad,minimax_rate
2,0.0,0.6123723878063976,0.5773502691896258
3,0.0,0.5254043051477003,0.5
4,0.0,0.4583688974439018,0.4472135954999579
5,0.0,0.406550753595721,0.4082482904638631
6,0.0,0.3690750106071919,0.37796447300922725
7,0.0,0.3404017562216564,0.3535533905932738
8,0.0,0.3175433051973606,0.33333333333333337
9,0.0,0.2987634403673747,0.31622776601683794
10,0.0,0.28297540503913654,0.30151134457776363
