N,delta_opt,bounded_subgrad,lip_rate
2,0.5773568472979477,0.5278214243020684,0.5773502691896258
3,0.4278567517604121,0.4270832679563423,0.5
4,0.39054363822982124,0.36895116081670526,0.4472135954999579
5,0.2907942002287109,0.33000062843973355,0.4082482904638631
6,0.3037706174287512,0.30147162309378017,0.3779644730092272
7,0.1829771203858564,0.2793702745197192,0.35355339059327373
8,0.12193727351827388,0.2615740247742798,0.3333333333333333
9,0.09725063833078529,0.2468332985222936,0.31622776601683794
10,0.14142136190114685,0.23435646906685706,0.30151134457776363
