Complexity,Loss,Equation
1,0.02005195825689133,"0.6325939035567933"
3,0.004841185159616872,"(0.04319224835267805 ^ x1)"
5,0.0013628537277522688,"(x1 ^ (x1 * 1.889091356401186))"
7,0.0005819615298515237,"(x1 ^ ((x1 + -0.014622260432710331) + x1))"
9,0.0005568196502941775,"((x1 ^ ((x1 + -0.017250257908158755) + x1)) * 0.9876622628302224)"
11,0.0005164502561371631,"((x1 ^ (((x1 / 1.0465475989752664) + -0.017250257908158755) + x1)) / 1.0203589376448117)"
13,0.0005154791259136662,"(((x1 ^ (((x1 + -0.017250257908158755) + x1) * 0.6684825716270086)) * 0.9822276106017401) ^ 1.4525218753464297)"
15,0.00048482247873909257,"(x1 ^ (((x1 + -0.014570860090843959) / ((2.2627670827980486 - (x1 / 0.18720626681591954)) ^ x1)) + x1))"
17,0.00033296448152834345,"(x1 ^ (((x1 + -0.011578246262432002) / (((0.14596570281590507 / (x1 * x1)) ^ x1) - 0.22740932957711188)) + x1))"
19,0.0002438733177932519,"(x1 ^ (((x1 + -0.011578246262432002) / ((((0.14596570281590507 / (x1 * x1)) ^ x1) - 0.22740932957711188) ^ 1.5876517731691078)) + x1))"
