k1,k2,k3,p,r,value
0.01,0.01,0.5,0.78,0.12359550561797751,1.001710711670385
0.01,0.01,0.5,0.85,0.08108108108108109,0.9682821647404154
0.01,0.01,0.5,0.92,0.04166666666666665,0.960158149085323
0.01,0.01,0.5,0.99,0.005025125628140708,0.9931833438698794
0.01,0.01,0.57,0.01,0.9801980198019802,10.404451453411554
0.01,0.01,0.57,0.08,0.8518518518518519,6.716220939109434
0.01,0.01,0.57,0.15,0.7391304347826088,4.611703508693484
0.01,0.01,0.57,0.22,0.639344262295082,3.3501592332114747
0.01,0.01,0.57,0.29,0.5503875968992248,2.5576231230896056
0.01,0.01,0.57,0.36,0.4705882352941177,2.038772728138772
0.01,0.01,0.57,0.43,0.39860139860139865,1.6872679663251517
0.01,0.01,0.57,0.5,0.3333333333333333,1.4427572708911933
0.01,0.01,0.57,0.57,0.2738853503184714,1.2696798806748433
0.01,0.01,0.57,0.64,0.2195121951219512,1.1464520994927287
0.01,0.01,0.57,0.71,0.16959064327485382,1.059787979138588
0.01,0.01,0.57,0.78,0.12359550561797751,1.0017202889227423
0.01,0.01,0.57,0.85,0.08108108108108109,0.9682963648138636
0.01,0.01,0.57,0.92,0.04166666666666665,0.9601748761594799
0.01,0.01,0.57,0.99,0.005025125628140708,0.9932015862040395
0.01,0.01,0.64,0.01,0.9801980198019802,10.316435192907871
0.01,0.01,0.64,0.08,0.8518518518518519,6.687187613466648
0.01,0.01,0.64,0.15,0.7391304347826088,4.60138303146115
0.01,0.01,0.64,0.22,0.639344262295082,3.346231440430273
0.01,0.01,0.64,0.29,0.5503875968992248,2.556040807290561
0.01,0.01,0.64,0.36,0.4705882352941177,2.038107615509597
0.01,0.01,0.64,0.43,0.39860139860139865,1.6869817339559834
0.01,0.01,0.64,0.5,0.3333333333333333,1.4426349564059207
0.01,0.01,0.64,0.57,0.2738853503184714,1.2696312971711636
0.01,0.01,0.64,0.64,0.2195121951219512,1.1464378074308668
0.01,0.01,0.64,0.71,0.16959064327485382,1.059790133313312
0.01,0.01,0.64,0.78,0.12359550561797751,1.001730592662255
0.01,0.01,0.64,0.85,0.08108108108108109,0.9683108816271289
0.01,0.01,0.64,0.92,0.04166666666666665,0.9601917145773284
0.01,0.01,0.64,0.99,0.005025125628140708,0.9932198381691109
0.01,0.01,0.71,0.01,0.9801980198019802,10.232900175204406
0.01,0.01,0.71,0.08,0.8518518518518519,6.659671341475498
0.01,0.01,0.71,0.15,0.7391304347826088,4.591640122303506
0.01,0.01,0.71,0.22,0.639344262295082,3.342541477867236
0.01,0.01,0.71,0.29,0.5503875968992248,2.55456211804637
0.01,0.01,0.71,0.36,0.4705882352941177,2.0374896342236024
0.01,0.01,0.71,0.43,0.39860139860139865,1.6867176521130691
0.01,0.01,0.71,0.5,0.3333333333333333,1.4425233034668796
0.01,0.01,0.71,0.57,0.2738853503184714,1.2695879219426303
0.01,0.01,0.71,0.64,0.2195121951219512,1.1464260706873222
0.01,0.01,0.71,0.71,0.16959064327485382,1.059793528860519
0.01,0.01,0.71,0.78,0.12359550561797751,1.0017414799512339
0.01,0.01,0.71,0.85,0.08108108108108109,0.9683256517678283
0.01,0.01,0.71,0.92,0.04166666666666665,0.9602086416710058
0.01,0.01,0.71,0.99,0.005025125628140708,0.9932380977723683
0.01,0.01,0.78,0.01,0.9801980198019802,10.153269755764889
0.01,0.01,0.78,0.08,0.8518518518518519,6.633463343386222
0.01,0.01,0.78,0.15,0.7391304347826088,4.582391601945876
0.01,0.01,0.78,0.22,0.639344262295082,3.339053913456512
0.01,0.01,0.78,0.29,0.5503875968992248,2.5531711720634203
0.01,0.01,0.78,0.36,0.4705882352941177,2.0369113739479197
0.01,0.01,0.78,0.43,0.39860139860139865,1.686472155133787
0.01,0.01,0.78,0.5,0.3333333333333333,1.4424205574443496
0.01,0.01,0.78,0.57,0.2738853503184714,1.269548879674133
0.01,0.01,0.78,0.64,0.2195121951219512,1.1464164511468908
0.01,0.01,0.78,0.71,0.16959064327485382,1.0597979488421245
0.01,0.01,0.78,0.78,0.12359550561797751,1.0017528469275567
0.01,0.01,0.78,0.85,0.08108108108108109,0.9683406293484098
0.01,0.01,0.78,0.92,0.04166666666666665,0.9602256411035288
0.01,0.01,0.78,0.99,0.005025125628140708,0.9932563635832232
0.01,0.01,0.85,0.01,0.9801980198019802,10.077086597722683
0.01,0.01,0.85,0.08,0.8518518518518519,6.608399689610078
0.01,0.01,0.85,0.15,0.7391304347826088,4.573572592059776
0.01,0.01,0.85,0.22,0.639344262295082,3.3357412581026242
0.01,0.01,0.85,0.29,0.5503875968992248,2.5518557053884106
0.01,0.01,0.85,0.36,0.4705882352941177,2.0363671385168427
0.01,0.01,0.85,0.43,0.39860139860139865,1.6862425139070094
0.01,0.01,0.85,0.5,0.3333333333333333,1.442325380934805
0.01,0.01,0.85,0.57,0.2738853503184714,1.2695135058783142
0.01,0.01,0.85,0.64,0.2195121951219512,1.1464086175261152
0.01,0.01,0.85,0.71,0.16959064327485382,1.0598032298494844
0.01,0.01,0.85,0.78,0.12359550561797751,1.0017646156513793
0.01,0.01,0.85,0.85,0.08108108108108109,0.9683557800609597
0.01,0.01,0.85,0.92,0.04166666666666665,0.9602427007047565
0.01,0.01,0.85,0.99,0.005025125628140708,0.9932746345400401
0.01,0.01,0.92,0.01,0.9801980198019802,10.003980154672181
0.01,0.01,0.92,0.08,0.8518518518518519,6.584348798541029
0.01,0.01,0.92,0.15,0.7391304347826088,4.565131333489836
0.01,0.01,0.92,0.22,0.639344262295082,3.3325816874910377
0.01,0.01,0.92,0.29,0.5503875968992248,2.5506060232759644
0.01,0.01,0.92,0.36,0.4705882352941177,2.035852443227583
0.01,0.01,0.92,0.43,0.39860139860139865,1.6860265880540855
0.01,0.01,0.92,0.5,0.3333333333333333,1.4422367289701867
0.01,0.01,0.92,0.57,0.2738853503184714,1.2694812832560105
0.01,0.01,0.92,0.64,0.2195121951219512,1.146402312840522
0.01,0.01,0.92,0.71,0.16959064327485382,1.059809245563402
0.01,0.01,0.92,0.78,0.12359550561797751,1.0017767260783739
0.01,0.01,0.92,0.85,0.08108108108108109,0.9683710775634164
0.01,0.01,0.92,0.92,0.04166666666666665,0.9602598111610616
0.01,0.01,0.92,0.99,0.005025125628140708,0.9932929098326664
0.01,0.01,0.99,0.01,0.9801980198019802,9.93364481624192
0.01,0.01,0.99,0.08,0.8518518518518519,6.561203097988706
0.01,0.01,0.99,0.15,0.7391304347826088,4.557025750121381
0.01,0.01,0.99,0.22,0.639344262295082,3.3295575389133862
0.01,0.01,0.99,0.29,0.5503875968992248,2.5494143104708
0.01,0.01,0.99,0.36,0.4705882352941177,2.035363686096078
0.01,0.01,0.99,0.43,0.39860139860139865,1.6858226645368246
0.01,0.01,0.99,0.5,0.3333333333333333,1.442153768070317
0.01,0.01,0.99,0.57,0.2738853503184714,1.269451800574223
0.01,0.01,0.99,0.64,0.2195121951219512,1.146397333460607
0.01,0.01,0.99,0.71,0.16959064327485382,1.0598158962093724
0.01,0.01,0.99,0.78,0.12359550561797751,1.0017891309296676
0.01,0.01,0.99,0.85,0.08108108108108109,0.9683865011773123
0.01,0.01,0.99,0.92,0.04166666666666665,0.9602769651831586
0.01,0.01,0.99,0.99,0.005025125628140708,0.9933111888291708
0.01,0.08,0.01,0.01,0.9801980198019802,2.726075219926022
0.01,0.08,0.01,0.08,0.8518518518518519,2.1220253874677315
0.01,0.08,0.01,0.15,0.7391304347826088,1.733755589222806
0.01,0.08,0.01,0.22,0.639344262295082,1.4725059315955082
0.01,0.08,0.01,0.29,0.5503875968992248,1.2907860085578724
0.01,0.08,0.01,0.36,0.4705882352941177,1.1616110596278544
0.01,0.08,0.01,0.43,0.39860139860139865,1.0688969795822238
0.01,0.08,0.01,0.5,0.3333333333333333,1.002713828966348
0.01,0.08,0.01,0.57,0.2738853503184714,0.95681696153166
0.01,0.08,0.01,0.64,0.2195121951219512,0.9273261733301283
0.01,0.08,0.01,0.71,0.16959064327485382,0.9120434052709658
0.01,0.08,0.01,0.78,0.12359550561797751,0.9102109829543283
0.01,0.08,0.01,0.85,0.08108108108108109,0.9227806713077347
0.01,0.08,0.01,0.92,0.04166666666666665,0.9540037492877906
0.01,0.08,0.01,0.99,0.005025125628140708,1.0229386792083819
0.01,0.08,0.08,0.01,0.9801980198019802,2.701625876493699
0.01,0.08,0.08,0.08,0.8518518518518519,2.108994848940104
0.01,0.08,0.08,0.15,0.7391304347826088,1.726573854005026
0.01,0.08,0.08,0.22,0.639344262295082,1.4684496695859934
0.01,0.08,0.08,0.29,0.5503875968992248,1.288455416170737
0.01,0.08,0.08,0.36,0.4705882352941177,1.1602577480293297
0.01,0.08,0.08,0.43,0.39860139860139865,1.0681081356841142
0.01,0.08,0.08,0.5,0.3333333333333333,1.0022559822807753
0.01,0.08,0.08,0.57,0.2738853503184714,0.9565553901147359
0.01,0.08,0.08,0.64,0.2195121951219512,0.9271818720623317
0.01,0.08,0.08,0.71,0.16959064327485382,0.911969448116897
0.01,0.08,0.08,0.78,0.12359550561797751,0.9101792300575675
0.01,0.08,0.08,0.85,0.08108108108108109,0.9227741491062256
0.01,0.08,0.08,0.92,0.04166666666666665,0.9540122233564801
0.01,0.08,0.08,0.99,0.005025125628140708,1.0229561139091374
0.01,0.08,0.15,0.01,0.9801980198019802,2.684735190566057
0.01,0.08,0.15,0.08,0.8518518518518519,2.100691884436392
0.01,0.08,0.15,0.15,0.7391304347826088,1.72232761824489
0.01,0.08,0.15,0.22,0.639344262295082,1.4662142649798966
0.01,0.08,0.15,0.29,0.5503875968992248,1.2872547684783333
0.01,0.08,0.15,0.36,0.4705882352941177,1.1596054302712373
0.01,0.08,0.15,0.43,0.39860139860139865,1.0677531534333808
0.01,0.08,0.15,0.5,0.3333333333333333,1.002065154559411
0.01,0.08,0.15,0.57,0.2738853503184714,0.9564564434146541
0.01,0.08,0.15,0.64,0.2195121951219512,0.9271348747049015
0.01,0.08,0.15,0.71,0.16959064327485382,0.911952025764033
0.01,0.08,0.15,0.78,0.12359550561797751,0.9101787164331006
0.01,0.08,0.15,0.85,0.08108108108108109,0.9227833297286816
0.01,0.08,0.15,0.92,0.04166666666666665,0.9540269894772333
0.01,0.08,0.15,0.99,0.005025125628140708,1.0229741690162637
0.01,0.08,0.22,0.01,0.9801980198019802,2.670733896691102
0.01,0.08,0.22,0.08,0.8518518518518519,2.0940103149490596
0.01,0.08,0.22,0.15,0.7391304347826088,1.7190039230276515
0.01,0.08,0.22,0.22,0.639344262295082,1.4645100374557876
0.01,0.08,0.22,0.29,0.5503875968992248,1.2863627823607997
0.01,0.08,0.22,0.36,0.4705882352941177,1.1591335648454066
0.01,0.08,0.22,0.43,0.39860139860139865,1.067503929501631
0.01,0.08,0.22,0.5,0.3333333333333333,1.0019361914766995
0.01,0.08,0.22,0.57,0.2738853503184714,0.9563934129952334
0.01,0.08,0.22,0.64,0.2195121951219512,0.9271084089426171
0.01,0.08,0.22,0.71,0.16959064327485382,0.9119460200457667
0.01,0.08,0.22,0.78,0.12359550561797751,0.910184247537595
0.01,0.08,0.22,0.85,0.08108108108108109,0.9227954238575706
0.01,0.08,0.22,0.92,0.04166666666666665,0.9540428752158601
0.01,0.08,0.22,0.99,0.005025125628140708,1.0229923299537513
0.01,0.08,0.29,0.01,0.9801980198019802,2.6584198932839556
0.01,0.08,0.29,0.08,0.8518518518518519,2.0882437668903266
0.01,0.08,0.29,0.15,0.7391304347826088,1.7161860455882785
0.01,0.08,0.29,0.22,0.639344262295082,1.4630896824762596
0.01,0.08,0.29,0.29,0.5503875968992248,1.285631940060207
0.01,0.08,0.29,0.36,0.4705882352941177,1.1587538866430647
0.01,0.08,0.29,0.43,0.39860139860139865,1.0673076449381043
0.01,0.08,0.29,0.5,0.3333333333333333,1.0018376046685478
0.01,0.08,0.29,0.57,0.2738853503184714,0.9563476966577991
0.01,0.08,0.29,0.64,0.2195121951219512,0.9270916676238388
0.01,0.08,0.29,0.71,0.16959064327485382,0.9119453301294813
0.01,0.08,0.29,0.78,0.12359550561797751,0.9101925467943168
0.01,0.08,0.29,0.85,0.08108108108108109,0.9228088306141622
0.01,0.08,0.29,0.92,0.04166666666666665,0.9540592572772963
0.01,0.08,0.29,0.99,0.005025125628140708,1.023010537048258
0.01,0.08,0.36,0.01,0.9801980198019802,2.6472569851028354
0.01,0.08,0.36,0.08,0.8518518518518519,2.0830879706134393
0.01,0.08,0.36,0.15,0.7391304347826088,1.7136996688700377
0.01,0.08,0.36,0.22,0.639344262295082,1.4618523679809021
0.01,0.08,0.36,0.29,0.5503875968992248,1.2850034603269256
0.01,0.08,0.36,0.36,0.4705882352941177,1.158431953647579
0.01,0.08,0.36,0.43,0.39860139860139865,1.0671440842875741
0.01,0.08,0.36,0.5,0.3333333333333333,1.0017575585742229
0.01,0.08,0.36,0.57,0.2738853503184714,0.9563124207123708
0.01,0.08,0.36,0.64,0.2195121951219512,0.9270807218014876
0.01,0.08,0.36,0.71,0.16959064327485382,0.911947772437359
0.01,0.08,0.36,0.78,0.12359550561797751,0.910202459102897
0.01,0.08,0.36,0.85,0.08108108108108109,0.922822993948273
0.01,0.08,0.36,0.92,0.04166666666666665,0.954075922324094
0.01,0.08,0.36,0.99,0.005025125628140708,1.023028770174164
0.01,0.08,0.43,0.01,0.9801980198019802,2.6369488359478996
0.01,0.08,0.43,0.08,0.8518518518518519,2.078378243286842
0.01,0.08,0.43,0.15,0.7391304347826088,1.7114521296437157
0.01,0.08,0.43,0.22,0.639344262295082,1.4607453491902893
0.01,0.08,0.43,0.29,0.5503875968992248,1.2844470432872104
0.01,0.08,0.43,0.36,0.4705882352941177,1.1581502519898548
0.01,0.08,0.43,0.43,0.39860139860139865,1.067003097997873
0.01,0.08,0.43,0.5,0.3333333333333333,1.0016901819225548
0.01,0.08,0.43,0.57,0.2738853503184714,0.9562842140836909
0.01,0.08,0.43,0.64,0.2195121951219512,0.927073665583177
0.01,0.08,0.43,0.71,0.16959064327485382,0.9119522988734863
0.01,0.08,0.43,0.78,0.12359550561797751,0.9102134356950073
0.01,0.08,0.43,0.85,0.08108108108108109,0.9228376523393247
0.01,0.08,0.43,0.92,0.04166666666666665,0.9540927710167528
0.01,0.08,0.43,0.99,0.005025125628140708,1.0230470200535287
0.01,0.08,0.5,0.01,0.9801980198019802,2.627310537994589
0.01,0.08,0.5,0.08,0.8518518518518519,2.0740133716899702
0.01,0.08,0.5,0.15,0.7391304347826088,1.7093872199416618
0.01,0.08,0.5,0.22,0.639344262295082,1.4597370074622447
0.01,0.08,0.5,0.29,0.5503875968992248,1.2839447215527446
0.01,0.08,0.5,0.36,0.4705882352941177,1.1578985010703704
0.01,0.08,0.5,0.43,0.39860139860139865,1.0668787850582637
0.01,0.08,0.5,0.5,0.3333333333333333,1.0016320920220925
0.01,0.08,0.5,0.57,0.2738853503184714,0.95626115136508
0.01,0.08,0.5,0.64,0.2195121951219512,0.9270694194765605
0.01,0.08,0.5,0.71,0.16959064327485382,0.9119583205864679
0.01,0.08,0.5,0.78,0.12359550561797751,0.9102251706795914
0.01,0.08,0.5,0.85,0.08108108108108109,0.9228526611373815
0.01,0.08,0.5,0.92,0.04166666666666665,0.9541097488301138
0.01,0.08,0.5,0.99,0.005025125628140708,1.0230652816330172
0.01,0.08,0.57,0.01,0.9801980198019802,2.6182171969182164
0.01,0.08,0.57,0.08,0.8518518518518519,2.069925810988133
0.01,0.08,0.57,0.15,0.7391304347826088,1.7074678167117163
0.01,0.08,0.57,0.22,0.639344262295082,1.4588066543408846
0.01,0.08,0.57,0.29,0.5503875968992248,1.2834848399802885
0.01,0.08,0.57,0.36,0.4705882352941177,1.1576700858841917
0.01,0.08,0.57,0.43,0.39860139860139865,1.0667673775515643
0.01,0.08,0.57,0.5,0.3333333333333333,1.0015811447351948
0.01,0.08,0.57,0.57,0.2738853503184714,0.95624202068749
0.01,0.08,0.57,0.64,0.2195121951219512,0.9270673086390513
0.01,0.08,0.57,0.71,0.16959064327485382,0.9119654718757153
0.01,0.08,0.57,0.78,0.12359550561797751,0.9102374753046014
0.01,0.08,0.57,0.85,0.08108108108108109,0.9228679316484079
0.01,0.08,0.57,0.92,0.04166666666666665,0.9541268225405992
0.01,0.08,0.57,0.99,0.005025125628140708,1.0230835518528814
0.01,0.08,0.64,0.01,0.9801980198019802,2.6095795837250826
0.01,0.08,0.64,0.08,0.8518518518518519,2.066067789587999
0.01,0.08,0.64,0.15,0.7391304347826088,1.7056678899396305
0.01,0.08,0.64,0.22,0.639344262295082,1.4579398955191332
0.01,0.08,0.64,0.29,0.5503875968992248,1.2830593473017835
0.01,0.08,0.64,0.36,0.4705882352941177,1.1574604675937525
0.01,0.08,0.64,0.43,0.39860139860139865,1.066666306693628
0.01,0.08,0.64,0.5,0.3333333333333333,1.0015358872516926
0.01,0.08,0.64,0.57,0.2738853503184714,0.9562260057673413
0.01,0.08,0.64,0.64,0.2195121951219512,0.9270668811101226
0.01,0.08,0.64,0.71,0.16959064327485382,0.9119735091817178
0.01,0.08,0.64,0.78,0.12359550561797751,0.9102502245422524
0.01,0.08,0.64,0.85,0.08108108108108109,0.9228834054360724
0.01,0.08,0.64,0.92,0.04166666666666665,0.9541439703749637
0.01,0.08,0.64,0.99,0.005025125628140708,1.0231018287187226
0.01,0.08,0.71,0.01,0.9801980198019802,2.601331218968321
0.01,0.08,0.71,0.08,0.8518518518518519,2.0624040258966216
0.01,0.08,0.71,0.15,0.7391304347826088,1.7039683570255448
0.01,0.08,0.71,0.22,0.639344262295082,1.4571262482923935
0.01,0.08,0.71,0.29,0.5503875968992248,1.2826624160234497
0.01,0.08,0.71,0.36,0.4705882352941177,1.1572663799432794
0.01,0.08,0.71,0.43,0.39860139860139865,1.0665737340898547
0.01,0.08,0.71,0.5,0.3333333333333333,1.0014952853317856
0.01,0.08,0.71,0.57,0.2738853503184714,0.9562125284621783
0.01,0.08,0.71,0.64,0.2195121951219512,0.9270678183651091
0.01,0.08,0.71,0.71,0.16959064327485382,0.9119822616789865
0.01,0.08,0.71,0.78,0.12359550561797751,0.910263331114757
0.01,0.08,0.71,0.85,0.08108108108108109,0.9228990418973471
0.01,0.08,0.71,0.92,0.04166666666666665,0.9541611772744005
0.01,0.08,0.71,0.99,0.005025125628140708,1.023120110857338
0.01,0.08,0.78,0.01,0.9801980198019802,2.593420932020038
0.01,0.08,0.78,0.08,0.8518518518518519,2.0589075732033546
0.01,0.08,0.78,0.15,0.7391304347826088,1.702354737836031
0.01,0.08,0.78,0.22,0.639344262295082,1.4563578042358198
0.01,0.08,0.78,0.29,0.5503875968992248,1.2822896732387514
0.01,0.08,0.78,0.36,0.4705882352941177,1.1570853843255193
0.01,0.08,0.78,0.43,0.39860139860139865,1.0664882937960325
0.01,0.08,0.78,0.5,0.3333333333333333,1.0014585740879371
0.01,0.08,0.78,0.57,0.2738853503184714,0.9562011631151246
0.01,0.08,0.78,0.64,0.2195121951219512,0.9270698869115774
0.01,0.08,0.78,0.71,0.16959064327485382,0.9119916046768277
0.01,0.08,0.78,0.78,0.12359550561797751,0.9102767315807414
0.01,0.08,0.78,0.85,0.08108108108108109,0.9229148116393673
0.01,0.08,0.78,0.92,0.04166666666666665,0.9541784323821023
0.01,0.08,0.78,0.99,0.005025125628140708,1.0231383972830028
0.01,0.08,0.85,0.01,0.9801980198019802,2.5858082956838953
0.01,0.08,0.85,0.08,0.8518518518518519,2.055557291234816
0.01,0.08,0.85,0.15,0.7391304347826088,1.7008157381153834
0.01,0.08,0.85,0.22,0.639344262295082,1.4556284266229307
0.01,0.08,0.85,0.29,0.5503875968992248,1.2819377418011983
0.01,0.08,0.85,0.36,0.4705882352941177,1.1569156058741656
0.01,0.08,0.85,0.43,0.39860139860139865,1.066408940139513
0.01,0.08,0.85,0.5,0.3333333333333333,1.001425170393822
