Complexity,Loss,Equation
1,0.020051958256891315,"0.6325939035789389"
3,0.005450098382045203,"(0.7825939102288235 - x1)"
4,0.0048327796725027,"(1.7988250083889508 - exp(x1))"
5,0.003810454634958168,"((x1 * -1.4657007568826184) + 0.852449024423938)"
6,0.0029127110295983985,"exp(-0.11399014054987246 - (x1 / 0.40808802161341334))"
8,0.0012935561090950903,"exp(0.003184462662204435 - (x1 / (x1 + 0.13414684857859968)))"
10,0.0012670740198386205,"exp(0.003184462662204435 - (x1 / (x1 + (0.13414684857859968 + -0.00451324949196444))))"
12,0.0010486149174218362,"exp(((0.11821884480720846 - x1) / ((x1 * 2.0690094717814396) + 0.2135136893982666)) + -0.48289350182481383)"
13,0.001040648672732345,"exp(((0.11821884480720846 - x1) / ((x1 / exp(-0.7804766434705264)) + 0.2135136893982666)) + -0.48289350182481383)"
14,0.00047607901905928005,"exp((((0.11821884480720846 - x1) / ((x1 * 8.406782057573144) + 0.2135136893982666)) - x1) + -0.3658641203921931)"
15,0.000463584560519737,"exp((((0.11821884480720846 - x1) / ((x1 * exp(2.1963527568013355)) + 0.2135136893982666)) - x1) + -0.3658641203921931)"
16,7.096774853576466e-5,"exp((((0.11821884480720846 - x1) / ((x1 / (x1 + 0.03905337448034425)) + 0.3286150282750786)) / 0.49026155899695023) + -0.45611291677721294)"
18,6.339859316146612e-5,"exp((((0.11821884480720846 - x1) / ((x1 / ((x1 + 0.06243073581653905) - 0.027069733734047283)) + 0.3286150282750786)) / 0.49026155899695023) + -0.45611291677721294)"
