N,obj_opt,bounded_subgrad
2,0.5761795819387765,0.5278214243020684
3,0.5443349335431373,0.4270832679563423
4,0.538734166116849,0.36895116081670526
5,0.48237797891410256,0.33000062843973355
6,0.48145703426894076,0.30147162309378017
7,0.46309285736210054,0.2793702745197192
8,0.4656405310966961,0.2615740247742798
9,0.45007382735975243,0.2468332985222936
10,0.43106542627501754,0.23435646906685706
