Complexity,Loss,Equation
1,0.020051958256891326,"0.6325939035781495"
3,0.004841185159616874,"(0.043192248352079375 ^ x1)"
5,0.0013628537277522682,"(x1 ^ (x1 / 0.5293550235156101))"
7,0.0005819615298515235,"(x1 ^ (x1 + (x1 - 0.014622260432499723)))"
9,0.0005753048580399607,"(((x1 * x1) ^ (x1 + -0.0077953644116209465)) - 0.003470944187795495)"
11,0.0005578102044421113,"(((x1 * (x1 / 0.9375168674235116)) ^ (x1 + -0.0077953644116209465)) - 0.006637041074117418)"
13,0.0005375670149372595,"((x1 * x1) ^ (x1 + ((x1 ^ (x1 ^ 0.6217576222315628)) * -0.007660269022023379)))"
15,0.0004894613890430246,"((x1 * x1) ^ (x1 + (((x1 ^ (x1 ^ 0.42164339330004563)) - -0.2796090765034413) * -0.007660269022023379)))"
17,0.000465774123059785,"((x1 * (x1 ^ 0.961963013383306)) ^ (x1 + (((x1 ^ (x1 ^ 0.42164339330004563)) - -0.23074317569240788) * -0.007660269022023379)))"
19,0.0004492378580244025,"((x1 * (x1 ^ 0.961963013383306)) ^ (x1 + (((x1 ^ ((x1 / 0.3249459290158876) ^ 0.5437638381209785)) - -0.23074317569240788) * -0.007660269022023379)))"
