Complexity,Loss,Equation
1,2.3259661147122777,"0.18582525841447214"
2,1.9574650887699812,"cos(x2)"
3,1.2907744335844322,"(x1 * x1)"
5,0.6420939648471082,"((x1 * x1) - 0.8054070187809494)"
7,0.15612392977112896,"((cos(x2) - cos(x1)) * 2.493189001934659)"
9,0.0747207553434797,"((cos(x2 * 0.8621184887347233) - cos(x1)) * 2.7407051478852855)"
10,0.02909568149401932,"((cos(x2) - cos(x1)) * (2.7744171912130926 - cos(x1)))"
12,0.023979162211600156,"((cos(x2) - cos(x1)) * (2.903116621829699 - cos(x1 * -0.8606473047001029)))"
13,0.022749874833682363,"((cos(x2) - cos(x1)) * (2.90311662050443 - cos(cos(x1) + -1.27407324294431)))"
14,0.013154805406862851,"((cos(x2 / 1.0701469236489103) - cos(x1)) * (3.0979310697299773 - cos(x1 * 0.7485264612902289)))"
16,0.008354042519127402,"((cos(x2 / 1.075539059345199) - cos(x1)) * (3.1423505001199015 - cos((x1 * x1) / 2.839345855469463)))"
17,0.0077294330173003955,"((cos(x2 / 1.0873479760394025) - cos(x1)) * (3.195535617296851 - cos(x1 * cos(cos(cos(x1))))))"
19,0.007482922308890822,"((cos(x2 / 1.0701469236489103) - cos(x1)) * (3.0979310697299773 - cos(x1 * cos(cos(cos(x1 * -1.1125061539636536))))))"
20,0.005544176129805695,"((cos(x2 * -0.9208649014446414) - cos(x1)) * ((2.137551139377543 / cos(cos(cos(cos(x1 * -0.8946461054519301))))) - cos(x1)))"
