Complexity,Loss,Equation
1,0.02005195825689132,"0.6325939035777638"
3,0.005450098382045205,"(0.7825939084546739 - x1)"
4,0.004832779672502703,"(1.7988250083891126 - exp(x1))"
5,0.003538435253466928,"exp(sin(x1 / -0.2829859542276604))"
6,0.0012853952524830557,"exp(x1 / (-0.1309620228060625 - x1))"
7,0.0012436210662254248,"exp(x1 / sin(-0.13545622265113472 - x1))"
8,0.0010255441223110855,"exp((x1 / (-0.0845235201663426 - x1)) - -0.09393532929105704)"
9,0.0009947974387733217,"exp((x1 / sin(-0.08615374651931458 - x1)) - -0.09540327808191304)"
10,0.0009819618749776088,"exp((x1 / (-0.08425257603096427 - sin(sin(x1)))) - -0.0980836765912036)"
11,0.0009689692718192343,"exp((x1 / (-0.08612928174489372 - sin(sin(sin(x1))))) - -0.09628215193937412)"
12,0.000947322917671903,"exp(((x1 / ((-0.059298260538358016 - x1) - x1)) - -0.06311867354337784) - x1)"
13,0.000737366850275549,"exp(((x1 / sin((-0.05121144638514674 - x1) - x1)) + 0.08335818400749426) - x1)"
14,0.0002376801139371563,"exp(((x1 / ((-0.02592778096066538 - x1) - x1)) + 0.17703986183002823) - (x1 * 1.4799184124901337))"
15,0.0002299656276207592,"exp(((x1 / (sin(-0.025933593678374278 - x1) - x1)) + 0.17703986183002823) - (x1 * 1.4799184124901337))"
16,0.0002246758221141436,"exp(((x1 / (sin(sin(-0.025933593678374278 - x1)) - x1)) + 0.17703986183002823) - (x1 * 1.4799184124901337))"
17,0.00021033899802952937,"exp((((x1 / ((-0.021668424425912172 - x1) - x1)) + 0.18528982639814823) * exp(x1 * 1.5008562648906714)) - x1)"
18,0.00016861372771212672,"exp((((x1 / ((-0.02593068683085099 - x1) - x1)) + 0.1671816277345309) * (x1 + 1.206059664635952)) - (x1 + -0.03308425196158803))"
19,0.0001507705225329707,"exp((((x1 / sin((-0.025933593678374278 - x1) - x1)) + 0.1671816277345309) * (x1 + 1.1819689241517513)) - (x1 + -0.03308425196158803))"
20,0.00012819203502364326,"exp((sin((x1 / sin((-0.025933593678374278 - x1) - x1)) + 0.1671816277345309) * (x1 + 1.1819689241517513)) - (x1 + -0.03308425196158803))"
