N,delta_opt,bounded_subgrad,lip_rate
2,0.5773127775386679,0.5278214243020684,0.4082482904638631
3,0.4278567517604121,0.4270832679563423,0.35355339059327373
4,0.0,0.36895116081670526,0.31622776601683794
5,0.0,0.33000062843973355,0.2886751345948129
6,0.0,0.30147162309378017,0.2672612419124244
7,0.0,0.2793702745197192,0.25
8,0.0,0.2615740247742798,0.23570226039551587
9,0.0,0.2468332985222936,0.22360679774997896
10,0.0,0.23435646906685706,0.21320071635561041
