Complexity,Loss,Equation
1,2.783203883011127,"0.08785697891686946"
2,2.1210661971204137,"cos(x2)"
3,1.6297272229416953,"(x1 * x1)"
5,0.9678406089041467,"((x1 * x1) + -0.8135641339767617)"
6,0.9503357685215785,"(x1 * (cos(x2) * x1))"
7,0.12956132142856921,"((cos(x2) - cos(x1)) / 0.42368020717107313)"
9,0.06837245779719966,"((cos(x2 * 0.850458347143706) - cos(x1)) * 2.613956815127131)"
10,0.020837046228027845,"((cos(x2) - cos(x1)) * (2.7068508245102794 - cos(x1)))"
12,0.011059484716747652,"((cos(x2) - cos(x1)) * (2.8696933324249123 - cos(x1 * 0.821240176909406)))"
13,0.008252366966987475,"((cos(x2) - cos(x1)) * (2.935569080745665 - cos(1.1681753006290525 - cos(x1))))"
14,0.007154621422772285,"((cos(x2) - cos(x1)) * (2.9996559657893993 - cos((x1 * -0.36303351103548026) * x1)))"
15,0.00512539427030984,"((cos(x2 / -1.0494640936566915) - cos(x1)) * (3.0840901967915864 - cos(0.9972202457082744 - cos(x1))))"
17,0.004436643329325255,"((cos(x2 / -1.0494640936566915) - cos(x1)) * (3.0840901967915864 - cos(0.9972202457082744 - (cos(x1) * 1.2627404254477759))))"
18,0.0029586473448457284,"((cos(x2 / -1.0494640936566915) - cos(x1)) * (3.0840901967915864 - cos(cos(0.39562923954414086) - (cos(x1) * 1.2627404254477759))))"
19,0.0029008298361086655,"((cos(x2 / -1.0494640936566915) - cos(x1)) * (3.0840901967915864 - cos(0.9972202457082744 - ((cos(x1) * 1.2627404254477759) - -0.08593683699150252))))"
