Complexity,Loss,Equation
1,0.020051958256891333,"0.6325939035785814"
3,0.005450098382045207,"(0.782593909290054 - x1)"
4,0.0048327796725027026,"(1.798825008389137 - exp(x1))"
5,0.003810454634958171,"(0.852449024448452 - (x1 * 1.4657007570042317))"
9,0.0032916065255886957,"(0.8524490245397317 - (x1 * ((1.4657007576008163 - x1) / 0.848511753855664)))"
10,0.002176069046896224,"(0.9379262841935524 - (x1 * ((exp(x1) * -4.7686672892038) + 7.876796191857222)))"
11,0.002091483379803329,"(0.944051620428273 - (x1 * (3.3051397971762246 - ((x1 * 7.131463262946312) - x1))))"
13,0.0019262454128039243,"exp(((((-0.8436349136168527 / exp(x1)) + x1) * x1) / 0.23559195467138866) - x1)"
17,0.001878873278226613,"exp((((((-0.8436349136168527 / exp(x1)) + x1) * x1) / 0.23559195467138866) - (0.06684091683800485 * x1)) - x1)"
19,0.0015768930929726315,"exp((((((-0.8436349136168527 / exp(x1)) + x1) * x1) / (x1 + 0.23559195467138866)) - x1) - (x1 * 0.8965140245656882))"
