Complexity,Loss,Equation
1,2.0881565618306244,"0.012313619439299298"
2,1.8415647524871062,"cos(x2)"
3,1.349370534957597,"(x1 * x1)"
5,0.7130008478121559,"((x1 * x1) - 0.7977278277363423)"
7,0.13277017184590556,"((cos(x2) - cos(x1)) / 0.4189587887798196)"
9,0.07085727848867135,"((cos(x2 * 0.8660792621531025) - cos(x1)) / 0.3711879085306141)"
10,1.5740052872773437e-21,"(((x1 * x1) - 1.9999999999364446) + (cos(x2) * 1.999999999908122))"
14,1.5740050287323727e-21,"(((x1 * x1) - (1.9999999999364446 + x1)) + ((cos(x2) * 1.999999999908122) + x1))"
15,1.5430285706470186e-28,"((((((x1 * x1) - 2.5923823502185197) + cos(x2)) + cos(x2)) - -0.9695551278598589) + -0.3771727776413268)"
