Complexity,Loss,Equation
1,0.020051958256891336,"0.6325939035781628"
3,0.004841185159616876,"(0.043192248132487135 ^ x1)"
5,0.0013628537277522693,"((x1 ^ x1) ^ 1.8890913553610957)"
7,0.0011246422719237371,"(((x1 * x1) ^ x1) * 1.0366073581909732)"
11,0.0005413842694695433,"((((x1 + x1) ^ (x1 + -0.02849757882677562)) / 1.1519786846611166) - x1)"
13,0.0004452716635792074,"(((x1 ^ (x1 + -0.02849757882677562)) / 1.1519786846611166) / ((x1 / x1) + x1))"
19,0.000415322617148974,"(((((x1 + x1) ^ ((x1 / (0.8417544530252683 + x1)) + -0.02849757882677562)) / 1.1519786846611166) - x1) / (x1 / x1))"
