Complexity,Loss,Equation
1,0.15579804211115414,"0.19699486357276977"
4,0.11554578446298738,"(exp(x1) * 0.11220205905566766)"
5,0.020201040126710316,"((x1 * 0.25638462987436506) * x1)"
7,0.014846432380229434,"(((x1 * x1) + -0.3174790119540364) * 0.2910119345478367)"
9,0.00017843691363763736,"(((x1 * 0.07233796502107784) * x1) * (x1 * x1))"
10,2.260500935034495e-23,"((x1 * x1) + ((cos(x1) * 2.0000000000081584) - 2.00000000000781))"
12,2.082384318268384e-24,"((x1 * x1) + (((cos(x1) * 2.0000000000029825) - 3.978216871593878) + 1.97821687159165))"
14,2.48847648750712e-25,"((((x1 + x1) * 0.5000000000014406) * x1) + ((cos(x1) * 2.0000000000081584) - 2.00000000000781))"
16,6.808533141145492e-27,"(((x1 * x1) + ((((cos(x1) * 1.9999999999998215) + -0.011067369777688003) - 4.006339665323237) + 1.9500940778623321)) - -0.06731295723870515)"
