Complexity,Loss,Equation
1,0.020051958256891333,"0.6325939035607203"
3,0.005450098382045208,"(0.7825939085788589 - x1)"
5,0.003810454634958171,"(0.8524490241787976 - (x1 * 1.4657007546687908))"
6,0.0029127110295984015,"exp(-0.11399014152526742 - (x1 * 2.450451728967385))"
10,0.0026463463109489428,"exp((-0.09871147836047588 - x1) - (x1 * (1.751607652433172 - x1)))"
12,0.002593058364747942,"exp((-0.09871147836047588 - x1) - (x1 * (1.751607652433172 - (x1 * 1.324597882702121))))"
13,0.0025600649454219416,"exp((-0.09871147836047588 - x1) - (x1 * (1.751607652433172 - (x1 * exp(x1)))))"
14,0.0025199052614020123,"exp((-0.09871147836047588 - x1) - (x1 * ((1.751607652433172 - (x1 / 0.6443209868624977)) + 0.07268050077674229)))"
16,0.0022797142430692873,"(exp(((x1 + x1) * (-1.8746299278011136 + 0.5749010499042236)) * (1.3300539427268248 - (x1 + x1))) - 0.056225683876327044)"
18,0.0018775822327649835,"exp(((((((x1 * -0.6907039221634403) / x1) + (x1 + -0.06958838118731414)) / 1.309373481558223) / 0.10191371051793427) * x1) + x1)"
20,0.0018008742348723185,"exp((((((((x1 * -0.7089016828544393) / x1) + (x1 + -0.06958838118731414)) / 1.309373481558223) / 0.10191371051793427) + x1) * x1) + x1)"
