k1,k2,k3,p,r,value
0.01,0.01,0.22,0.71,0.16959064327485382,0.4763084098303516
0.01,0.01,0.22,0.78,0.12359550561797751,0.5042283933838694
0.01,0.01,0.22,0.85,0.08108108108108109,0.5218331449296654
0.01,0.01,0.22,0.92,0.04166666666666665,0.5263028079263901
0.01,0.01,0.22,0.99,0.005025125628140708,0.5086258246029587
0.01,0.01,0.29,0.01,0.9801980198019802,0.04606762654898669
0.01,0.01,0.29,0.08,0.8518518518518519,0.07291824955719273
0.01,0.01,0.29,0.15,0.7391304347826088,0.10740119623993571
0.01,0.01,0.29,0.22,0.639344262295082,0.14877878027852476
0.01,0.01,0.29,0.29,0.5503875968992248,0.1956252712235501
0.01,0.01,0.29,0.36,0.4705882352941177,0.24603474982138784
0.01,0.01,0.29,0.43,0.39860139860139865,0.2978453478061531
0.01,0.01,0.29,0.5,0.3333333333333333,0.34883523593422705
0.01,0.01,0.29,0.57,0.2738853503184714,0.39686591964025864
0.01,0.01,0.29,0.64,0.2195121951219512,0.4399621965367322
0.01,0.01,0.29,0.71,0.16959064327485382,0.47632188148465837
0.01,0.01,0.29,0.78,0.12359550561797751,0.5042355101257376
0.01,0.01,0.29,0.85,0.08108108108108109,0.5218364724200537
0.01,0.01,0.29,0.92,0.04166666666666665,0.526304002227852
0.01,0.01,0.29,0.99,0.005025125628140708,0.5086259215160804
0.01,0.01,0.36,0.01,0.9801980198019802,0.04651294364813116
0.01,0.01,0.36,0.08,0.8518518518518519,0.07329965935388433
0.01,0.01,0.36,0.15,0.7391304347826088,0.10770862571862977
0.01,0.01,0.36,0.22,0.639344262295082,0.14901384917384597
0.01,0.01,0.36,0.29,0.5503875968992248,0.19579684020567312
0.01,0.01,0.36,0.36,0.4705882352941177,0.24615481720353438
0.01,0.01,0.36,0.43,0.39860139860139865,0.29792613841983084
0.01,0.01,0.36,0.5,0.3333333333333333,0.3488875542312957
0.01,0.01,0.36,0.57,0.2738853503184714,0.396898482999428
0.01,0.01,0.36,0.64,0.2195121951219512,0.43998158817554844
0.01,0.01,0.36,0.71,0.16959064327485382,0.47633282097838214
0.01,0.01,0.36,0.78,0.12359550561797751,0.504241236948189
0.01,0.01,0.36,0.85,0.08108108108108109,0.5218391261542035
0.01,0.01,0.36,0.92,0.04166666666666665,0.5263049463289868
0.01,0.01,0.36,0.99,0.005025125628140708,0.5086259974632146
0.01,0.01,0.43,0.01,0.9801980198019802,0.04692379375118477
0.01,0.01,0.43,0.08,0.8518518518518519,0.07364732975210586
0.01,0.01,0.43,0.15,0.7391304347826088,0.10798596151348022
0.01,0.01,0.43,0.22,0.639344262295082,0.14922393659221034
0.01,0.01,0.43,0.29,0.5503875968992248,0.19594885722653632
0.01,0.01,0.43,0.36,0.4705882352941177,0.24626033616854448
0.01,0.01,0.43,0.43,0.39860139860139865,0.29799658403078966
0.01,0.01,0.43,0.5,0.3333333333333333,0.348932825638826
0.01,0.01,0.43,0.57,0.2738853503184714,0.3969264494661775
0.01,0.01,0.43,0.64,0.2195121951219512,0.439998119394549
0.01,0.01,0.43,0.71,0.16959064327485382,0.4763420787395394
0.01,0.01,0.43,0.78,0.12359550561797751,0.504246048398103
0.01,0.01,0.43,0.85,0.08108108108108109,0.5218413398135477
0.01,0.01,0.43,0.92,0.04166666666666665,0.5263057283259229
0.01,0.01,0.43,0.99,0.005025125628140708,0.5086260599341446
0.01,0.01,0.5,0.01,0.9801980198019802,0.04730775037757323
0.01,0.01,0.5,0.08,0.8518518518518519,0.07396898868604407
0.01,0.01,0.5,0.15,0.7391304347826088,0.10824034218769696
0.01,0.01,0.5,0.22,0.639344262295082,0.14941514894762653
0.01,0.01,0.5,0.29,0.5503875968992248,0.19608622966715517
0.01,0.01,0.5,0.36,0.4705882352941177,0.24635504677640907
0.01,0.01,0.5,0.43,0.39860139860139865,0.29805940359856864
0.01,0.01,0.5,0.5,0.3333333333333333,0.34897294105665644
0.01,0.01,0.5,0.57,0.2738853503184714,0.3969510769189717
