Complexity,Loss,Equation
1,0.020051958256891315,"0.632593903577025"
3,0.014971475543075154,"(0.8801714529266029 - x1)"
4,0.004841185159616874,"exp(x1 * -3.1420942439024593)"
6,0.001905899035191124,"(exp(x1 * -5.590900236047625) + x1)"
8,0.0018161498280355444,"((exp(x1 * -5.045613437819565) + -0.033021507570717465) + x1)"
10,0.001813563142149409,"(exp(x1 * ((-5.59090024367331 + x1) + -0.1856451379540119)) + x1)"
12,0.0017928717750735994,"exp((((0.5340381832216776 - x1) / 0.16611839931656594) * (0.0749224118499047 + -1.6884285388269162)) * x1)"
14,0.001684050840968766,"exp(((((0.5340381832216776 - x1) / 0.16611839931656594) * (x1 + -1.6884285388269162)) - x1) * x1)"
16,0.0016821486577741124,"exp((((((0.5340381832216776 - x1) / 0.16611839931656594) * (x1 + -1.6884285388269162)) + 0.020855053553921945) - x1) * x1)"
