p_range,ε_p_data,F_p_data,H_p_data
0.0001,0.00028472117101905497,0.05337219238425898,1.071467217477334
0.02050612244897959,0.00021596033820375606,0.060349069988092176,0.9844515686642249
0.04091224489795918,0.36277057496244824,0.5671312006512238,0.6354783661937166
0.061318367346938775,0.34198342097652734,0.5461506956216251,0.6473035484451454
0.08172448979591836,0.3221765430979453,0.5261407346249242,0.6590315853710916
0.10213061224489796,0.303510552068883,0.5070443981743127,0.671053218663512
0.12253673469387755,0.28599047259735827,0.4888087535573085,0.6835184468722915
0.14294285714285712,0.26932815747091793,0.4713847083480375,0.6960204882348795
0.16334897959183672,0.25363969335738545,0.4547267485369759,0.7088927248852529
0.18375510204081633,0.2387723092867125,0.4387924274116479,0.7219501552705736
0.20416122448979593,0.22992581227540498,0.4236160759761375,0.7465011711053255
0.2245673469387755,0.2142132170958571,0.4089622899190964,0.7551276315048019
0.2449734693877551,0.20014346958713797,0.39495560638946803,0.7657811146627247
0.2653795918367347,0.1872114191757609,0.38154210994180143,0.7775773071292993
0.28578571428571425,0.17585212991612406,0.3686846894610257,0.7918219600298635
0.3061918367346939,0.1648667993689622,0.3563500575399985,0.8057584880359436
0.32659795918367346,0.1546873674154916,0.34451247420894865,0.8205796834449584
0.34700408163265306,0.14503008707556678,0.33314694369848663,0.8356567718394475
0.36741020408163266,0.13589544281820265,0.3222303176182178,0.8510782212938481
0.3878163265306122,0.14013674833647086,0.31239485000881756,0.9045196950180439
0.40822244897959187,0.11900672059070655,0.30165803744680647,0.8827557392337217
0.4286285714285714,0.11516368715705827,0.2920343121423236,0.9116918967821741
0.449034693877551,0.10461601588205602,0.2826397536394204,0.9183175182327674
0.4694408163265306,0.0980919483197131,0.2736714060333475,0.9370200077039386
0.48984693877551017,0.09092323811826723,0.2650281895967779,0.9525707458273602
0.5102530612244898,0.08418223100863334,0.25670847729854956,0.9686327606582179
0.5306591836734694,0.0777258736572134,0.24869706531566546,0.9847551156034346
0.551065306122449,0.07213610761116404,0.24097912567612462,1.003333408029661
0.5714714285714285,0.06677863929295433,0.23354121848785242,1.0220364390578092
0.5918775510204082,0.06162679871556465,0.22637101737243573,1.0407939410014642
0.6122836734693877,0.05671716706441924,0.21945702582101828,1.0598060516861953
0.6326897959183674,0.052117458932085345,0.21278830317250302,1.0794459621484533
0.6530959183673469,0.04772351839873154,0.20635445825677656,1.0993081212512357
0.6735020408163265,0.04356875810226821,0.200145646394917,1.119609648467983
0.6939081632653061,0.04399239733579658,0.19435048882733844,1.1620253883109573
0.7143142857142857,0.03949327926078866,0.18851499709722813,1.1800242730603174
0.7347204081632653,0.032232882954571884,0.18277829195282227,1.1821923735366417
0.7551265306122449,0.030386070479113465,0.17740961002582095,1.2126499049326926
0.7755326530612244,0.026652648350463343,0.1721781477903143,1.232023505104872
0.7959387755102041,0.023287307664841696,0.1671313790637229,1.2527904155588205
0.8163448979591837,0.020048915779771945,0.16225543258421593,1.273614993786047
0.8367510204081633,0.017175115779770277,0.15754548645175764,1.2961054661915465
0.8571571428571428,0.014569074922678374,0.15299175457470204,1.3198188647276559
0.8775632653061224,0.01212718150645081,0.14858760097384607,1.3441610484092308
0.897969387755102,0.009812242711778586,0.14432727510269627,1.3689319222636664
0.9183755102040817,0.007629441550164115,0.14020531231127722,1.3942258963424483
0.9387816326530612,0.005558217176949407,0.13621649022817361,1.4199400537104552
0.9591877551020408,0.0036033610891494476,0.13235580299973126,1.4461646878741745
0.9795938775510203,0.0017498326633393702,0.12861849677168938,1.4728277912215484
1.0,1.217528547510699e-8,0.12500000982932835,1.5000000582668092
