Complexity,Loss,Equation
1,23.904575,"2.8568065"
3,3.0758915,"x0 * x0"
5,2.9771662,"(x0 + -0.17781812) * x0"
6,1.2317809,"cos(x3) + (x0 * x0)"
8,0.24549745,"(cos(x3) * 2.4408295) + (x0 * x0)"
10,1.00436545e-13,"(cos(x3) * 2.5382001) + ((x0 * x0) + -0.49999997)"
12,9.1684235e-14,"((x0 * (x0 * 1.0)) + (cos(x3) * 2.5382)) + -0.5"
14,6.9169334e-14,"(((x0 * x0) * 0.96238345) + ((cos(x3) * 2.4427216) + -0.48119178)) * 1.0390868"
